Store,smartIntent,message,starRating,Month of Fiscal Month,Blank
BP #52031 Vernon,Store Experience | Staff | Appreciation,Easy return. Friendly staff,5,25-Jan,52031
BP #52031 Vernon,Store Experience | Staff | Appreciation,Justin was a great help. Welcomed me to the store and promptly helped me with no wait!,5,25-Mar,52031
BP #52033 Concord,Store Experience | Staff | Appreciation,Gea was literally the most helpful and informative sales representative I’ve ever spoke to in a setting like this. She saved me so much money and I have nothing but wonderful things to say about her!,5,25-Jan,52033
"BP #52037 Salem, MA",Store Experience | Staff | Appreciation,Dennis was really knowledgeable and helpful. Thanks all issues resolved.,5,25-Jan,52037
BP #53001 Tomball,Store Experience | Long Wait Time,"The person that took care of me was great!  Very patient and knowledgeable.
Wait time was good too.",5,25-Feb,53001
BP #53001 Tomball,Store Experience | Staff | Appreciation,Fast service,5,25-Jan,53001
BP #53001 Tomball,Store Experience | Staff | Appreciation,Great customer service,5,25-Jan,53001
BP #53001 Tomball,Store Experience | Staff | Appreciation,"Me & my husband went to Xfinity on 2920 looking for assistance with phone. A gentleman named Daniel stepped up and solved the problem within minutes. He was very professional friendly knowledgeable. There's another gentleman , Michael who works there, very friendly and inviting.  I would like to shout out to the two, thx for making our visit easy.",5,25-Mar,53001
BP #53001 Tomball,Store Experience | Staff | Dissatisfaction,"I walked in today February 25, 2025 I was going to pay my phone bill. The employee stated that “they do not take cash” . this is NOT acceptable, not everyone has a credit card. I am a first time customer with y’all as well.  If other businesses can take cash as payment y’all can to. I will be filling a complaint with the Consumer Protection Agency and BBB.",1,25-Mar,53001
BP #53004 Spring,Store Experience | Long Wait Time,The process to drop off equipment should be expedited.  I’m here now with others who just want to drop off equipment and we all have to wait behind people who need to deal with their account.  Why not have a service window only for equipment dropoffs.   Making customers wait is insane.,1,25-Feb,53004
BP #53004 Spring,Store Experience | Staff | Dissatisfaction,"I don’t believe that these people care or understand about Customer service at all. It’s either their way or the highway.. I only give it one star because that’s as low as you could go, but it should be negative run the other way if possible.",1,25-Feb,53004
BP #53007 Katy,Store Experience | Staff | Dissatisfaction,"People at this store dont have knowledge of what they are handling. They are very nice when we get into the store for a purchase , due to lack of knowledge they mess up things and ask us to call customer service straight away and dont care about the customer anymore and start answering rudely . They converted my physical SIM to esim without knowing esim cant be moved out of a locked phone . Now I ask them to convert back to physical SIM, which they said they can initially before moving to esim, without knowing that it cant be moved . Now I am stuck with carrying 2 phones because of their mistake.",1,25-Feb,53007
BP #53008 Houston,Store Experience | Long Wait Time,,1,25-Jan,53008
BP #53008 Houston,Store Experience | Short Wait Time,Worst customer service we have been in this location twice ! One time they wouldn’t even help us said call customer service ! We went to another location and they helped us and got our issue resolved in 5 minutes,1,25-Feb,53008
BP #53008 Houston,Store Experience | Staff | Appreciation,"I'd like to express my gratitude to Thaury and Hector for their exceptional professionalism and dedication. Both went above and beyond to ensure my issues were resolved promptly, making the entire experience seamless and stress-free. Their attention to detail and competence truly stood out. I’m grateful for their outstanding service and help.",5,25-Feb,53008
BP #53008 Houston,Store Experience | Staff | Appreciation,Yvette and Juan were understanding and super helpful. I never have any problems with Xfinity. I definitely recommend this store and service they were super fast and convenient.,5,25-Jan,53008
BP #53009 Webster,Store Experience | Long Wait Time,"Being in here waiting HOURS to return my modem... the person who completed my order was courteous and understanding, improving my opinion. He apologized for the long wait.",3,25-Feb,53009
BP #53009 Webster,Store Experience | Staff | Appreciation,"(Translated by Google) Very friendly and excellent customer service. Daniel is an expert.

(Original)
Muy amable y excelente atención al cliente. Daniel es un experto.",5,25-Mar,53009
BP #53009 Webster,Store Experience | Staff | Appreciation,Best customer service out of all the Xfinity stores I’ve been to. Michael was very helpful and courteous!,5,25-Jan,53009
BP #53009 Webster,Store Experience | Staff | Appreciation,"Rodney was incredible, his patience with us was awesome.  He showed us what our problem was and walked us thru the process. Highly recommend Rodney at Xfinity!!!!!!!",5,25-Mar,53009
BP #53009 Webster,Store Experience | Staff | Appreciation,"Super smooth process of getting internet, the employees were so nice!",5,25-Feb,53009
BP #53009 Webster,Store Experience | Staff | Dissatisfaction,"Poor attitude, put customer in questioning mode not in helping mode. Chasity Store Manager knows well the system and the incongruency of their phone customer service and what the store can do. Knowing that I feel like she could do more for the company with a will to keep the customer but not really interested. Pressing to hurry since she had many customers is a strategy she used.
Other than that seems like workers there share my same feelings",1,25-Jan,53009
BP #53009 Webster,Store Experience | Staff | Manager Appreciation,Best store in your company and its assistant manager Noah. Very knowledgeable staff with excellent customer service.,5,25-Mar,53009
BP #53009 Webster,Store Experience | Staff | Manager Complaints,Pathetic service. Came to return the equipment. Says the account is not closed despite us having received confrmation that its closed over the phone and over the chat. Showed the manager and they will not accept unless the account holder comes to return the equipment,1,25-Feb,53009
BP #53010 Houston,Store Experience | Customer Dissatisfaction,"On Thursday, February 28th, 2025 I was surprised with exceptional service at this store. What was meant to be a minor errand became an opportunity to save big on my monthly bills. I didn’t expect to find solutions to all my xfinity worries that day, BUT, thanks to a wonderful employee named Ilyssa, I was able to regain confidence in my service provider at a time when it was slowly dwindling. Thank you so much Ilyssa for the exceptional support you gave me yesterday. I hope the kindness you show others is returned to you 1000 times more.",5,25-Mar,53010
BP #53010 Houston,Store Experience | Long Wait Time,"Disorganized. Prepare to stand in line for 1 hour+ while they let people cut in line and spend time chitchatting with customers as the line grows and grows. But don’t worry, they’ll ask you to give them a 10/10 in the satisfaction survey after all that.",1,25-Mar,53010
BP #53010 Houston,Store Experience | Long Wait Time,"Fast friendly service. Came to return a modem. The staff took care of it in a few minutes.

There are two dedicated stalls out front so parking shouldn’t be an issue.

There’s an onsite police officer for their safety?

There was a 30min wait for the store on Voss / Westheimer.",4,25-Feb,53010
BP #53010 Houston,Store Experience | Staff | Appreciation,"Allanah & Ilyssa these ladies did a great job. Helped me with my phone, internet and tv. These ladies are rock stars with technology",5,25-Feb,53010
BP #53010 Houston,Store Experience | Staff | Appreciation,Allanah took awesome care of my new account . Patient and knowledgeable. Transferred 4 lines and new gigabyte service seamlessly !,5,25-Jan,53010
BP #53010 Houston,Store Experience | Staff | Appreciation,Came in to change my router and Yvette was very helpful knowledgeable and even helped me save $ by switching my cell phone provider with them :) great customer service. Thank you !,5,25-Jan,53010
BP #53010 Houston,Store Experience | Staff | Appreciation,"I recently had a great experience with Xfinity, and I want to give a special shoutout to Ilyssa for her outstanding customer service. She was incredibly helpful, patient, and knowledgeable, making the whole process smooth and hassle-free. Whether it was answering my questions or ensuring I got the best plan for my needs, she went above and beyond. The internet speed and reliability have been excellent, and I’m happy with my switch to Xfinity. Highly recommend their service, especially if you get assistance from someone as professional as Ilyssa!",5,25-Feb,53010
BP #53010 Houston,Store Experience | Staff | Appreciation,I’lyssa gave excellent customer service & was very patient with all of our questions. Great service & won’t hesitate to return.,5,25-Jan,53010
BP #53010 Houston,Store Experience | Staff | Appreciation,Illyssa did a magnificent job with helping us purchase a new phone. She went out her way and called customer service when she did not have to. She also offered to help at any time we had an issue. She gave excellent service and we truly appreciate it.,5,25-Jan,53010
BP #53010 Houston,Store Experience | Staff | Appreciation,Ilyssa customer service excellence,5,25-Jan,53010
BP #53010 Houston,Store Experience | Staff | Appreciation,Ilyssa gave great service and I appreciate her hard work in helping us.,5,25-Feb,53010
BP #53010 Houston,Store Experience | Staff | Appreciation,"Ilyssa is the best, world class service. She took the time and patience to get me back on a phone after mine was stolen. She had to go through 2 hours of stressful obstacles with my account.
She is a 20 in a 2 to 10 scale!!!

She definitely has the customer service spirit and embodies that unusual ""going the extra mile""

Jorge P O",5,25-Feb,53010
BP #53010 Houston,Store Experience | Staff | Appreciation,"Ilyssa is very helpful, polite, and knowledgeable.",5,25-Jan,53010
BP #53010 Houston,Store Experience | Staff | Appreciation,Ilyssa took great care of me today.  She got me setup with home internet.  She was very friendly and knowledgeable of XFINITY products and services! Great job!,5,25-Feb,53010
BP #53010 Houston,Store Experience | Staff | Appreciation,Jai was excellent !,5,25-Mar,53010
BP #53010 Houston,Store Experience | Staff | Appreciation,Yvette did amazing!!! She’s such a sweet soul! You need more of her in Xfinity. Thank you so much for that excellent service Yvette!! 👍🏾👍🏾,5,25-Feb,53010
BP #53010 Houston,Store Experience | Staff | Appreciation,Yvette Escobar was amazingly helpful!!!  She knew the product and what she was doing. Went above and beyond customer service.,5,25-Jan,53010
BP #53010 Houston,Store Experience | Staff | Appreciation,"Yvette was extremely helpful, patient and explained everything really well. Thank you so much for all your help!!!",5,25-Jan,53010
BP #53010 Houston,Store Experience | Staff | Appreciation,"Yvette was great, had so much patience with us and we were in the store for more than 3 hours. Definitely one of the greatest employees Xfinity has.",5,25-Feb,53010
BP #53010 Houston,Store Experience | Staff | Appreciation,Yvette was incredibly helpful and was even able to get us a technician to set up our equipment for free. Highly recommend!,5,25-Jan,53010
BP #53010 Houston,Store Experience | Staff | Dissatisfaction,"When we came to this Xfinity store, we were incredibly frustrated. We had worked with representatives at a different location, and they had made our situation far more complicated than necessary.

We walked in, and Ilyssa greeted us warmly. We explained what had happened at the other location, and she immediately understood the situation (despite our Xfinity account being bungled). She removed the line that the other representatives added (to fix a mistake that they had made and yet we still were charged). Ilyssa communicated clearly through every part of the process, explaining the steps she was taking to remedy our issues.

Ilyssa is a wonderful representative for the company. I will be coming to this location from now on.",5,25-Feb,53010
BP #53011 Houston,Store Experience | Customer Dissatisfaction,"Be careful doing business here. One of the worst store, apparently they don’t know what they are doing or they will just trick you into their services and later blame it all on you. I had a worst experience.",1,25-Jan,53011
BP #53011 Houston,Store Experience | Customer Dissatisfaction,"I would not recommend this Xfinity store! I scheduled an 11 AM appointment to pick up my Wi-Fi modem but waited 45 minutes while walk-ins were assisted first. Appointments were not prioritized at all, making the scheduling system pointless. This inefficient service intervention is why there’s always a long wait at this location. A frustrating experience and a major flaw in how this store operates.",1,25-Feb,53011
BP #53011 Houston,Store Experience | Customer Dissatisfaction,"Worst location. Rude and not helpful had to find my own way for a plan infact if I had agreed to theirs my Tv service world have been cut off. Every year Poland increase by 20% and was told take it or leave it
Need to find alerternative soon",1,25-Jan,53011
BP #53011 Houston,Store Experience | Long Wait Time,My wife and I been waiting for over an hr just to drop off equipment this is awful.,1,25-Mar,53011
BP #53011 Houston,Store Experience | Long Wait Time,Wait times are too freaking long I came here just to return equipment and it’s been an hr tf!,1,25-Mar,53011
BP #53011 Houston,Store Experience | Not Recommended,Are you fking kidding me I’ve been waiting over an hour to return their stupid modem. 4 guys standing at the customer service desk and only one is calling people. Do yourself a favor and skip this location.,1,25-Feb,53011
BP #53011 Houston,Store Experience | Staff | Appreciation,Nice staff. Good prices.,5,25-Feb,53011
BP #53011 Houston,Store Experience | Staff | Appreciation,Sean was extremely helpful!,5,25-Feb,53011
BP #53011 Houston,Store Experience | Staff | Appreciation,Sean was very helpful and smart. He fixed my issues very quickly and in a friendly manner,5,25-Feb,53011
BP #53011 Houston,Store Experience | Staff | Appreciation,"Sunday 01/05 @11:00am
The provided service by the younger man was great! The young woman checking people in was vaping, that’s a big No for me while I’m holding my baby in the store.",2,25-Jan,53011
BP #53011 Houston,Store Experience | Staff | Appreciation,Yvette was very helpful and made sure we had everything we needed completed before we left.,5,25-Jan,53011
BP #53011 Houston,Store Experience | Staff | Behaviour Issues,"They are understaffed and unprofessional. It's a short guy that works here, I am assuming he is a manager and instead of helping your team, to get the line down they wanna hold side bar conversations. I came to pickup a internet box.",1,25-Mar,53011
BP #53011 Houston,Store Experience | Staff | Dissatisfaction,"8 advisors wasting their time, more than 2 hours and they don't help me at all, 5 people in 2 hours! Very poor service",1,25-Feb,53011
BP #53011 Houston,Store Experience | Staff | Dissatisfaction,"(Translated by Google) Terrible service from the workers at this place. They spend more time talking than they do serving customers... goodbye Xfinity 🤮🤮

(Original)
Pésimo el servicio de los trabajadores de este lugar es más tiempo el que se pasan hablando al que pasan atendiendo a los clientes… hasta nunca Xfinity 🤮🤮",1,25-Feb,53011
BP #53011 Houston,Store Experience | Staff | Manager Complaints,"I have been given the run around for about a week trying to add service at my new address but some other tenant has a past due balance and that’s has NOTHING to do with me. I brought my lease, water bill, and I’d and still nothing. The manager didn’t know what to do and none of the employees did nothing. I hate this company more and more",1,25-Mar,53011
BP #53011 Houston,Store Experience | Staff | Manager Complaints,"The staff as soon as you walk through the door they greet you,just to let you hanging and talking by yourself.The employees were seating at the tablet just talking between them like they was a bar at a club and you have to wait for them to finish their conversation to help you and that was rude, I bet they do it often. The manager should have a talk with their employees to have a better customer service and their employees  just giggles between them like they have the complicity even though they were wrong.The tall guy next time I have to ask for his name,because he is just lazy",1,25-Mar,53011
BP #53012 Houston,Store Experience | Customer Dissatisfaction,Worst ever store experience. Staff  not able to help. Saying hefty price when compared with customer care price given. Two executives told two different prices. Offered mobile line which doesn’t require for me. Basic plan giving saying gif plan price. Earlier used xfinity for long. But now regretting to use due to inappropriate and selling wrong plans.  We thought of going store get connection quickly. Staffing saying entire store having only one plan bundled with mobile line.,1,25-Feb,53012
BP #53012 Houston,Store Experience | Long Wait Time,"Fast friendly service. Came to return a modem. The staff took care of it in a few minutes.

It’s a shared parking lot with Target so it can get busy.

There’s an onsite police officer for their safety?

There was a 30min wait for the store on Voss / Westheimer.",4,25-Feb,53012
BP #53012 Houston,Store Experience | Not Recommended,"I am terrified by the looks of these guys... What Kind of satanic place Did I just walk into?
On top of that, the movie on the TV was a terror movie and we are not in halloween you know...",1,25-Mar,53012
BP #53012 Houston,Store Experience | Staff | Appreciation,Allanah was super helpful and managed to help 3 other people while helping me. Excellent job,5,25-Feb,53012
BP #53012 Houston,Store Experience | Staff | Appreciation,"Andi is an exceptional representative that assisted us with our issue. She was patient, attentive, and engaged. We had a complicated issue to resolve and she was instrumental in resolving the issue and made us feel valued. Thank you Andi!",5,25-Feb,53012
BP #53012 Houston,Store Experience | Staff | Appreciation,Assistant Caleb was so helpful and patient with me and my mother. He is very knowledgeable as well!!,5,25-Jan,53012
BP #53012 Houston,Store Experience | Staff | Appreciation,Caleb is great worker outstanding person understanding very helpful he needs more pay,5,25-Jan,53012
BP #53012 Houston,Store Experience | Staff | Appreciation,Caleb the greatest worker of all time he needs a raise . Thank you,5,25-Jan,53012
BP #53012 Houston,Store Experience | Staff | Appreciation,Caleb was fantastic and slashed our Cell Phone Bill!!,5,25-Mar,53012
BP #53012 Houston,Store Experience | Staff | Appreciation,Caleb was very informative and helped answer all my questions. Came in and got exactly what I was looking for within 45 minutes!,5,25-Jan,53012
BP #53012 Houston,Store Experience | Staff | Appreciation,"I had a great interaction with Caleb, who helped with the setting of the new line and go over plan options.",5,25-Jan,53012
BP #53012 Houston,Store Experience | Staff | Appreciation,"I had experience an frustrating time with the Xfinity now prepaid team earlier today, but I walked in this store and they relieved my frustration. The manager Don was very pleasant and patient with me and gave me the exact service I needed. I also received help from Nick , he made me feel okay about my concerns. It's a good store to go to.",5,25-Mar,53012
BP #53012 Houston,Store Experience | Staff | Appreciation,I love this location and Jose the sales associate was very helpful and professional 👏 👍. I'd recommend to everyone 😀,5,25-Mar,53012
BP #53012 Houston,Store Experience | Staff | Appreciation,I was greeted quickly by Jesus and he was able to resolve my issue. Caleb and Andi were good resources as well. Great teamwork! I left the store happy.,5,25-Feb,53012
BP #53012 Houston,Store Experience | Staff | Appreciation,"Incredible attention from a great team! Extra thanks to the wonderful greeter, my first point of contact, whose name I neglected to get and to Nick for solving my issue quickly and with kindness.  Thanks and high fives to the staff working today! All smiles and competent helpfulness!",5,25-Jan,53012
BP #53012 Houston,Store Experience | Staff | Appreciation,Jesus and Don were amazing and and they were awesome and Customer service they really Deserve a raise,5,25-Jan,53012
BP #53012 Houston,Store Experience | Staff | Appreciation,My partner and I had an excellent experience with customer service representative Caleb today. His patience and understanding is greatly appreciated.,5,25-Mar,53012
BP #53012 Houston,Store Experience | Staff | Appreciation,This guys were 100 patient with me ! Answered all my questions! Definitely will be back in.Thank you J  and Caleb !!,5,25-Jan,53012
BP #53012 Houston,Store Experience | Staff | Manager Appreciation,Awesome manager/ Mr. Caleb issue resolved......Thank him,5,25-Feb,53012
BP #53013 Bellaire,Store Experience | Long Wait Time,Possibly the worst customer service I’ve dealt with in a while. Opens at 10am and already has 7 customers waiting in line with only one employee. All other employees are apparently late. I’m just here for a simple pick up and it’s going well past 10:25am.,1,25-Mar,53013
BP #53013 Bellaire,Store Experience | Not Recommended,Absolutely the worst possible customer service. I came it to switch from another carrier and everone in the store including the representative was totally unprofessional. Laughing loud paying attention more to the TV than the customer. No thanks I'd rather take my business somewhere that respects their customers,1,25-Feb,53013
BP #53013 Bellaire,Store Experience | Staff | Appreciation,"(Translated by Google) Very, very good service, Paula attended me, excellent service, excellent attention, everything has changed, the manager was very attentive, nkem, things have changed a lot and I am very satisfied with the attention and the work they are doing, I congratulate them.

(Original)
Muy, muy buena atención, Paula me atendió, excelente servicio, excelente atención, ha cambiado todo, la manager muy atenta, nkem, las cosas han cambiado mucho y muy satisfecha con la atención y el trabajo que están realizando, los felicito",5,25-Mar,53013
BP #53013 Bellaire,Store Experience | Staff | Appreciation,David did an amazing job at making the switch easy. Brought my whole family over from T-Mobile. Best decision ever. Ask for David or Kim.,5,25-Jan,53013
BP #53013 Bellaire,Store Experience | Staff | Appreciation,I wanted to say a special thanks to Mr. Edgar for his help on switching over my internet when I  had issues figuring it out on my own. He was efficient and friendly. Great work,5,25-Jan,53013
BP #53013 Bellaire,Store Experience | Staff | Appreciation,The gentleman that helped me was very knowledgeable and professional. Service was great.,5,25-Jan,53013
BP #53013 Bellaire,Store Experience | Staff | Behaviour Issues,"(Translated by Google) We arrived at this store and a dark-haired man who works there helped us and was very rude and did not want to serve us and he served us reluctantly. My husband asked for his driver's license. If not, he would not serve him. It is bad service. That Moreno thought that maybe the The tablet that we had with us to activate was stolen until my husband gave him the driver's license. He treated him very rudely and we bought the iPad right there. Those kinds of people don't have to be there, they are people who don't like it. A guy who speaks Spanish helped us work but that dark-skinned guy was very rude to us and didn't want to help the other customers who were there. I will not return there again, very bad service from that Moreno 😡😡😡😡😡 he was a very rude and racist person 😡😡 they have to have people who treat customers well for me to run away from that Moreno

(Original)
Llegamos a esta tienda y un moreno que trabaja ahí nos atendió y muy grosero no nos quiso  atender y nos atendió de mala gana a mi esposo le pidió su licencia de conducir si no no lo iba atender es un mal servicio ese Moreno pensó que quizás la tableta que llevábamos para que la activara era robada hasta que mi esposo le dio la licencia de conducir lo atendió muy grosero y ahí mismo la aviamos comprado la  iPad esa clase de personas no tiene que estar ahí son unas personas que no les gusta trabajar un muchacho que habla español nos ayudo pero ese moreño fue muy grosero con nosotros no quería ayudar a los otros clientes que estaban ahí. No vuelvo a regresar ahí muy mal servicio de parte de ese Moreno 😡😡😡😡😡 fue una persona muy grosera y racista 😡😡 tienen que tener gente que trate bien a los clientes para mi que corran a ese Moreno",1,25-Jan,53013
BP #53014 Houston,Store Experience | Customer Dissatisfaction,"(Translated by Google) Seriously, this store and Xfinity company is the worst and Xfinity Mobil is the worst. You can't imagine the biggest theft they are committing against customers. You really feel helpless because you can't do anything. Seriously, don't get Xfinity Mobil service or internet. I don't know what to think about this company anymore.

(Original)
De verdad que esta tienda y compañía de xfinity es lo peor y más xfinity Mobil no se imaginan el robo más grande que están haciendo a los clientes de verdad uno se siente impotente por qué no puedes hacer nada de verdad no agarren servicio de Xfinity Mobil ni internet yo ya no sé qué pensar de esta empresa",1,25-Mar,53014
BP #53014 Houston,Store Experience | Customer Dissatisfaction,They're very slow and unprofessional including management.Customer Service doesn't exist at this location.,1,25-Feb,53014
BP #53014 Houston,Store Experience | Long Wait Time,"(Translated by Google) Bad service in the system, there are always many people waiting because there is no good service at all for everything they leave you or want you to wait 40 minutes 🙄 and in passing many times they drop the system, that store and the service are very bad too

(Original)
Mal servicio en el sistema, siempre hay muchas personas esperando porque no hay buen servicio en nada para todo te dejan o quieren que esperes 40 minutos 🙄 y de paso muchas veces se les cae el sistema, esta muy mal esa tienda y el servicio también

Bad service in the system, there are always many people waiting because there is no good service at all for everything they leave you or want you to wait 40 minutes 🙄 and in passing many times they drop the system, that store and the service are very bad too",1,25-Feb,53014
BP #53014 Houston,Store Experience | Long Wait Time,"(Translated by Google) I don't know why they make people wait if there are enough of them and they don't do anything, they just walk and walk.   Bad service, long waiting time

(Original)
No sé por qué ponen a la gente a esperar si ellos son bastantes y no hacen nada solo están camina y camina.   Mal servicio, mucho tiempo de espera",1,25-Feb,53014
BP #53014 Houston,Store Experience | Long Wait Time,Bad customer service. They told me 45 minutes wait time just to return equipment and to get a receipt,1,25-Mar,53014
BP #53014 Houston,Store Experience | Long Wait Time,Great costumer service by the staff here  the wait time is long but they insure that costumers are educated about the wait but my experience here helped me keep my services and I was going to cancel it took a few people to convince me but once they broke everything down to me it made since,5,25-Feb,53014
BP #53014 Houston,Store Experience | Long Wait Time,I drove 30 minutes to get here and when I got here they were closed at 7:40 and on the website it says they close at 8 PM. I don’t appreciate that the security saw me standing at the door and he just closed a mini blinds from the windows.,1,25-Feb,53014
BP #53014 Houston,Store Experience | Long Wait Time,Long wait and bad costumer service i had a terrible experience at this location,1,25-Feb,53014
BP #53014 Houston,Store Experience | Long Wait Time,Please do your self a favor and DO NOT GO to this location unless you have a full day to waste!! Xfinity told me to return my cable box at this location when I walked in there was around 15 people waiting and like 5 employees but only seen 1 person at the desk helping somebody and everyone else was just walking around I then stopped a woman which happen to be a manager  and told her I just need to drop this off she then pointed to the end of the line and told me I was to wait behind them if I want a receipt I told her that’s ridiculous I don’t need to speak with anybody I just need to drop this off she then walked me over to a cart that had over 40 pieces on it there was literally no room for anything more to be placed on it she told me to find a spot to leave it there and I will get a receipt e mailed later it’s been over a week I was still getting charged for something I didn’t have I had to contact xfinity and they had it removed from my account this is by far the worst service and location I’ve ever seen,1,25-Feb,53014
BP #53014 Houston,Store Experience | Long Wait Time,"This is my fourth time coming back and my issue is still not resolved. The customer service is horrible over the phone. The lady in front of me is having the same issue and I can hear on the phone complaining about how many hours she's waited with customer service. Her issues are also still not resolved. They sent me an email after the review I left. I've driven to Metro PC, got all the information I need to get service and I'm still on hold with Xfinity. It's been over an hour. I'm going home to get something to eat at this point while I wait hopefully it will be before they close.",1,25-Mar,53014
BP #53014 Houston,Store Experience | Long Wait Time,"Today they provided the worst possible service, I arrived at 11 am and it's 11:45 am and I still have 10 people before me, I insisted twice that I only want to buy a camera, and the answer was negative.
Today's shortage of staff is not qualified.",1,25-Feb,53014
BP #53014 Houston,Store Experience | Not Recommended,"Save yourself the trouble and DO NOT DO  any kind of business with this store. Do it online or drive to the next store near you. Whatever you do, stay away from this place.
Just read the other comments. Most people think it's a problem of lack of personnel, or incompetence, but it's bigger than that: it is absolute negligence and lack of respect for the customers. Borderline criminal.

Stay away from this place!",1,25-Mar,53014
BP #53014 Houston,Store Experience | Not Recommended,"Today is February 10,2025.
I walked into the store just to return one equipment box. I was giving two options  leave the box get no receipt or wait around 40 minutes just to have a receipt  printed. However I made a third options to leave and head to another location.

I think it's outrageous to wait 40 minutes for a receipt  when it took 2-3 minutes to take down my information.  There should be a better system for return items and getting a receipt.",1,25-Feb,53014
BP #53014 Houston,Store Experience | Staff | Appreciation,Angie was such a great help we appreciate she for brings joy to our face when we enter the store thanks guys for your help everything GULFGATE IS MY STORE,5,25-Mar,53014
BP #53014 Houston,Store Experience | Staff | Appreciation,Good customer service!,5,25-Mar,53014
BP #53014 Houston,Store Experience | Staff | Appreciation,Jennifer Velasquez was awesome  service went out of her way to do everything she could best service.I've gotten a long time.Thank you 😃😁👍,5,25-Jan,53014
BP #53014 Houston,Store Experience | Staff | Dissatisfaction,"Unorganized , I would suggest proper methods of sorting the customers at check in depending upon the query the customers come with , heads off to the new security personal at this place as he is very concerned with the people walking in and helping them out as it’s obvious the people working here are new. Hopefully with time the service will get better.",1,25-Feb,53014
BP #53014 Houston,Store Experience | Staff | Manager Complaints,"Ok, where do I start. 3 employees to help one customer. First employee had to get the manager. But the second employee left his customer, an older lady with her grand daughter, to spectate. The manager was trying to explain to the customer the process of her billing, but the customer had a bad understanding, so I don't fault Xfinity for that. However, that manager should have delegated better. That employee that was originally helping the customer could have been helping someone else as the manager assisted the original customer. Furthermore, she should have told the nosy employee to get back to work. But the  real slap in the face is the nosy employee, a male, told another employer ""Ugh, I'm just having one of my moments!"" while being rude. When the customer tried to explain to him that he's not professional, he commented ""It Doesn't Matter!"" What the hell kind of customer service are they teaching and allowing. While all this went on, a line had formed and nobody thought to ask the two other employees that were in the back to come out and help. That manager has to be retained and that ride, nosy employee should be fired.",1,25-Jan,53014
BP #53015 Houston,Store Experience | Long Wait Time,2 people working 10 people waiting and they wouldn't even just give me a replacement remote control.,1,25-Mar,53015
BP #53015 Houston,Store Experience | Staff | Appreciation,"(Translated by Google) Friendly service, prompt attention from Francisco

(Original)
Amables servicio pronto una atención de Francisco",5,25-Mar,53015
BP #53015 Houston,Store Experience | Staff | Appreciation,"Hugo Sánchez
Great costumer service skills!",5,25-Mar,53015
BP #53015 Houston,Store Experience | Staff | Appreciation,"I came here upset from earlier dealing with customer service through the phone this morning. Jonathan and his team, took care of my issues! I was able to get a great plan and they took care of me right away. I truly appreciate his help and the headache he took away! Love their help and this location!",5,25-Feb,53015
BP #53015 Houston,Store Experience | Staff | Appreciation,"Janay is the one you want to work with
Very helpful beautiful sprit she worked her magic  on getting  me a IPhone 14 I only came in for one thing and happy bill is not out of control 😀 😉 😄",5,25-Feb,53015
BP #53015 Houston,Store Experience | Staff | Appreciation,Professionally courteous,5,25-Mar,53015
BP #53015 Houston,Store Experience | Staff | Behaviour Issues,"They don't have good service, they tell you a price and in the end they charge you a much higher amount than what they promised, they are real thieves",1,25-Mar,53015
BP #53016 Houston,Store Experience | Customer Dissatisfaction,"IF I COULD GIVE NEGATIVE STARS I WOULD NOBODY IN THAT STORE ARE PROFESSIONAL WE WALKED IN TO CANCEL A HOME PHONE SERVICE AND WE GOT IGNORED AND THE 3 WORKERS STARTED HELPING ONE PERSON MIND YOU WE ARE BLACK THEN WHEN WE FINALLY GOT SOMEONE TO HELP US SHE STARTS TALKING ABOUT HOW WE HAVE A BUNDLE WITH OUR INTERNET TV AND HOME PHONE SERVICE AND HOW IF WE CANCLE THE HOME PHONES IT WOULD BE THE SAME PRICE!? LIKE WE ARE LOSING SERVICE WHY WOULD IT REMAIN THE SAME (ON TOP OF THAT ANOTHER BLACK CUSTOMER WAS LOOKING AT THE WALL OF PHONE ACCESSORIES AND THEN REALIZED THAT IT WAS THE WRONG SIZE FOR HIS PHONE SO THEN HE WALKS BACK TO SET IT BACK DOWN AND THE LADY TALKS ABOUT SOME WHAT ARE YOU DOING TO THE GUY SAYING HOW HES “SUSPICIOUS”) AFTER ALL THAT WE FINALLY GET SOMEWHERE AND THEY SEND US AN EMAIL TO CANCEL AND OUR BILL WENT UP!? HOW DOES THE BILL GO UP BUT WE HAVE LESS SERVICE LIKE!?????

UNDER ANY CIRCUMSTANCES DO NOT COME HERE!",1,25-Mar,53016
BP #53016 Houston,Store Experience | Staff | Appreciation,Wonderful and knowledgeable,5,25-Mar,53016
BP #53016 Houston,Store Experience | Staff | Dissatisfaction,"If I could give this store a minus five stars, I would. The service was horrible. The agents refused to give their names, and the rude young female argued with us and turned around, and left us standing at the desk. They didn't want to provide the manager's name, finally gave us her card, we wrote to her ans this is the day we are still waiting for a reply or a call. This is not a corporate Comcast store either the customer service should be the same. I pay a lot of money every month not to get great customer service via phone or in person.",1,25-Mar,53016
BP #53017 Houston,Store Experience | Customer Appreciation,Customer service is so so but store like a great environment,3,25-Feb,53017
